customer_id,recency,frequency,monetary,first_order,last_order,reference_date,r_score,f_score,m_score,rfm_score,segment,recommended_action
CUST000024,459.0,3,224.47,2024-12-07,2025-05-29,2026-08-31,1,3,3,7,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000025,401.0,3,177.44,2025-05-03,2025-07-26,2026-08-31,2,3,3,8,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000026,61.0,9,924.4,2024-10-02,2026-07-01,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000027,137.0,2,153.87,2026-03-23,2026-04-16,2026-08-31,3,2,3,8,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000028,17.0,13,3091.43,2024-09-04,2026-08-14,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000029,80.0,9,729.27,2024-12-18,2026-06-12,2026-08-31,4,5,4,13,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000030,217.0,1,69.47,2026-01-26,2026-01-26,2026-08-31,3,1,2,6,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000031,287.0,1,135.36,2025-11-17,2025-11-17,2026-08-31,2,1,3,6,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000032,27.0,7,4738.47,2025-11-05,2026-08-04,2026-08-31,5,4,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000033,173.0,2,76.94,2025-11-24,2026-03-11,2026-08-31,3,2,2,7,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000034,221.0,5,357.56,2025-04-23,2026-01-22,2026-08-31,2,4,4,10,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000035,74.0,3,126.08,2026-01-03,2026-06-18,2026-08-31,4,3,3,10,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000036,39.0,9,735.71,2024-11-30,2026-07-23,2026-08-31,5,5,4,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000037,46.0,10,614.16,2024-08-30,2026-07-16,2026-08-31,4,5,4,13,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000038,234.0,4,247.35,2025-07-14,2026-01-09,2026-08-31,2,3,4,9,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000039,192.0,6,261.04,2025-01-14,2026-02-20,2026-08-31,3,4,4,11,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000040,440.0,1,16.29,2025-06-17,2025-06-17,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000041,235.0,2,58.89,2025-11-07,2026-01-08,2026-08-31,2,2,2,6,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000042,420.0,4,150.62,2024-12-30,2025-07-07,2026-08-31,2,3,3,8,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000043,359.0,1,44.88,2025-09-06,2025-09-06,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000044,141.0,5,617.62,2025-08-14,2026-04-12,2026-08-31,3,4,4,11,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000045,626.0,3,109.53,2024-09-11,2024-12-13,2026-08-31,1,3,2,6,Hibernating,Low-cost reactivation campaign; survey to learn why they stopped buying.
CUST000046,678.0,1,60.77,2024-10-22,2024-10-22,2026-08-31,1,1,2,4,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000047,180.0,2,138.29,2025-11-12,2026-03-04,2026-08-31,3,2,3,8,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000048,158.0,6,339.2,2025-09-02,2026-03-26,2026-08-31,3,4,4,11,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000049,426.0,1,61.27,2025-07-01,2025-07-01,2026-08-31,2,1,2,5,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000050,31.0,10,783.47,2024-09-23,2026-07-31,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000051,39.0,9,819.46,2024-11-23,2026-07-23,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000052,16.0,14,1816.61,2024-09-11,2026-08-15,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000053,424.0,2,46.59,2025-04-29,2025-07-03,2026-08-31,2,2,1,5,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000054,107.0,1,129.72,2026-05-16,2026-05-16,2026-08-31,4,1,3,8,New Customers,Onboard well; send a strong second-purchase incentive within 30 days.
CUST000055,676.0,1,52.74,2024-10-24,2024-10-24,2026-08-31,1,1,2,4,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000056,455.0,1,50.1,2025-06-02,2025-06-02,2026-08-31,2,1,2,5,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000057,98.0,2,46.480000000000004,2026-02-14,2026-05-25,2026-08-31,4,2,1,7,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000058,294.0,1,29.7,2025-11-10,2025-11-10,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000059,28.0,9,726.8199999999999,2025-01-23,2026-08-03,2026-08-31,5,5,4,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000060,32.0,15,1356.6599999999999,2024-10-04,2026-07-30,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000061,218.0,1,94.87,2026-01-25,2026-01-25,2026-08-31,3,1,2,6,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000062,38.0,4,208.6,2025-11-11,2026-07-24,2026-08-31,5,3,3,11,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000063,326.0,1,45.46,2025-10-09,2025-10-09,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000064,657.0,1,60.37,2024-11-12,2024-11-12,2026-08-31,1,1,2,4,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000065,429.0,1,15.89,2025-06-28,2025-06-28,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000066,98.0,1,63.36,2026-05-25,2026-05-25,2026-08-31,4,1,2,7,New Customers,Onboard well; send a strong second-purchase incentive within 30 days.
CUST000067,168.0,1,51.33,2026-03-16,2026-03-16,2026-08-31,3,1,2,6,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000068,70.0,5,393.91,2025-11-27,2026-06-22,2026-08-31,4,4,4,12,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000069,27.0,13,1675.8799999999999,2024-09-02,2026-08-04,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000070,229.0,1,44.8,2026-01-14,2026-01-14,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000071,124.0,4,250.57999999999998,2025-10-08,2026-04-29,2026-08-31,3,3,4,10,Need Attention,Limited-time win-back offer; recommend based on past purchases.
CUST000072,233.0,4,221.64000000000001,2025-08-12,2026-01-10,2026-08-31,2,3,3,8,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000073,594.0,1,85.41,2025-01-14,2025-01-14,2026-08-31,1,1,2,4,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000074,177.0,4,342.99,2025-09-22,2026-03-07,2026-08-31,3,3,4,10,Need Attention,Limited-time win-back offer; recommend based on past purchases.
CUST000075,41.0,17,1912.76,2024-10-23,2026-07-21,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000076,200.0,5,220.35,2025-07-07,2026-02-12,2026-08-31,3,4,3,10,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000077,236.0,2,108.85,2025-12-10,2026-01-07,2026-08-31,2,2,2,6,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000078,555.0,1,25.92,2025-02-22,2025-02-22,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000079,699.0,1,16.74,2024-10-01,2024-10-01,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000080,303.0,3,223.8,2025-07-11,2025-11-01,2026-08-31,2,3,3,8,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000081,630.0,1,43.66,2024-12-09,2024-12-09,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000082,166.0,5,316.44,2025-07-31,2026-03-18,2026-08-31,3,4,4,11,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000083,528.0,2,53.81,2024-12-08,2025-03-21,2026-08-31,1,2,2,5,Hibernating,Low-cost reactivation campaign; survey to learn why they stopped buying.
CUST000084,17.0,7,445.01,2025-05-26,2026-08-14,2026-08-31,5,4,4,13,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000085,45.0,11,1363.1,2024-09-24,2026-07-17,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000086,93.0,10,821.4300000000001,2024-12-12,2026-05-30,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000087,504.0,1,31.04,2025-04-14,2025-04-14,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000088,214.0,6,179.09,2025-02-18,2026-01-29,2026-08-31,3,4,3,10,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000089,61.0,11,1060.1,2024-08-31,2026-07-01,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000090,554.0,1,20.19,2025-02-23,2025-02-23,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000091,66.0,11,942.4300000000001,2024-09-13,2026-06-26,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000092,677.0,1,23.38,2024-10-23,2024-10-23,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000093,191.0,3,124.77,2025-12-18,2026-02-21,2026-08-31,3,3,3,9,Need Attention,Limited-time win-back offer; recommend based on past purchases.
CUST000094,99.0,4,98.17999999999999,2026-01-07,2026-05-24,2026-08-31,4,3,2,9,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000095,223.0,6,349.49,2025-02-06,2026-01-20,2026-08-31,2,4,4,10,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000096,31.0,1,46.2,2026-07-31,2026-07-31,2026-08-31,5,1,1,7,New Customers,Onboard well; send a strong second-purchase incentive within 30 days.
CUST000097,55.0,6,430.12,2025-04-19,2026-07-07,2026-08-31,4,4,4,12,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000098,75.0,9,791.21,2024-10-12,2026-06-17,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000099,33.0,12,1026.03,2024-09-25,2026-07-29,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000100,37.0,6,6488.92,2025-09-14,2026-07-25,2026-08-31,5,4,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000101,629.0,2,93.97,2024-12-02,2024-12-10,2026-08-31,1,2,2,5,Hibernating,Low-cost reactivation campaign; survey to learn why they stopped buying.
CUST000102,409.0,1,9.01,2025-07-18,2025-07-18,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000103,217.0,3,64.63,2025-11-11,2026-01-26,2026-08-31,3,3,2,8,Need Attention,Limited-time win-back offer; recommend based on past purchases.
CUST000104,2.0,11,9997.06,2024-09-17,2026-08-29,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000105,347.0,1,73.66,2025-09-18,2025-09-18,2026-08-31,2,1,2,5,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000106,438.0,1,27.12,2025-06-19,2025-06-19,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000107,233.0,3,119.18,2025-08-03,2026-01-10,2026-08-31,2,3,3,8,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000108,90.0,3,188.39999999999998,2026-03-26,2026-06-02,2026-08-31,4,3,3,10,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000109,64.0,9,779.7,2024-10-23,2026-06-28,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000110,486.0,3,125.83,2025-02-18,2025-05-02,2026-08-31,1,3,3,7,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000111,153.0,6,245.13,2025-08-30,2026-03-31,2026-08-31,3,4,4,11,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000112,133.0,2,126.64,2026-01-17,2026-04-20,2026-08-31,3,2,3,8,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000113,52.0,5,176.55,2025-06-15,2026-07-10,2026-08-31,4,4,3,11,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000114,659.0,1,47.24,2024-11-10,2024-11-10,2026-08-31,1,1,2,4,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000115,20.0,9,674.44,2024-12-01,2026-08-11,2026-08-31,5,5,4,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000116,665.0,2,34.73,2024-10-15,2024-11-04,2026-08-31,1,2,1,4,Hibernating,Low-cost reactivation campaign; survey to learn why they stopped buying.
CUST000117,303.0,2,131.53,2025-07-07,2025-11-01,2026-08-31,2,2,3,7,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000118,546.0,1,29.26,2025-03-03,2025-03-03,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000119,44.0,6,262.03,2025-10-21,2026-07-18,2026-08-31,5,4,4,13,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000120,537.0,1,277.51,2025-03-12,2025-03-12,2026-08-31,1,1,4,6,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000121,421.0,1,103.73,2025-07-06,2025-07-06,2026-08-31,2,1,2,5,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000122,285.0,1,12.81,2025-11-19,2025-11-19,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000123,1.0,10,1099.42,2025-05-13,2026-08-30,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000124,226.0,5,269.98,2025-04-04,2026-01-17,2026-08-31,2,4,4,10,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000125,3.0,12,1466.21,2024-10-15,2026-08-28,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000126,191.0,5,271.92,2025-05-19,2026-02-21,2026-08-31,3,4,4,11,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000127,61.0,4,106.35000000000001,2025-07-14,2026-07-01,2026-08-31,4,3,2,9,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000128,3.0,11,632.96,2024-11-25,2026-08-28,2026-08-31,5,5,4,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000129,52.0,12,1085.41,2024-12-16,2026-07-10,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000130,350.0,1,84.64,2025-09-15,2025-09-15,2026-08-31,2,1,2,5,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000131,47.0,10,857.79,2024-10-12,2026-07-15,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000132,497.0,4,199.36999999999998,2024-11-10,2025-04-21,2026-08-31,1,3,3,7,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000133,316.0,1,31.58,2025-10-19,2025-10-19,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000134,44.0,6,494.46000000000004,2025-12-14,2026-07-18,2026-08-31,5,4,4,13,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000135,415.0,1,113.4,2025-07-12,2025-07-12,2026-08-31,2,1,3,6,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000136,26.0,14,1824.6299999999999,2024-09-06,2026-08-05,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000137,45.0,8,7604.51,2025-08-12,2026-07-17,2026-08-31,5,4,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000138,106.0,4,98.24000000000001,2025-11-24,2026-05-17,2026-08-31,4,3,2,9,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000139,460.0,3,130.32,2025-01-28,2025-05-28,2026-08-31,1,3,3,7,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000140,10.0,14,930.83,2024-08-31,2026-08-21,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000141,138.0,2,63.260000000000005,2026-01-07,2026-04-15,2026-08-31,3,2,2,7,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000142,165.0,2,100.58000000000001,2026-01-17,2026-03-19,2026-08-31,3,2,2,7,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000143,644.0,2,35.39,2024-08-31,2024-11-25,2026-08-31,1,2,1,4,Hibernating,Low-cost reactivation campaign; survey to learn why they stopped buying.
CUST000144,614.0,1,71.18,2024-12-25,2024-12-25,2026-08-31,1,1,2,4,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000145,36.0,4,118.8,2025-12-30,2026-07-26,2026-08-31,5,3,3,11,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000146,37.0,4,118.66,2026-03-09,2026-07-25,2026-08-31,5,3,3,11,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000147,260.0,4,160.9,2025-06-25,2025-12-14,2026-08-31,2,3,3,8,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000148,47.0,1,26.99,2026-07-15,2026-07-15,2026-08-31,4,1,1,6,New Customers,Onboard well; send a strong second-purchase incentive within 30 days.
CUST000149,174.0,2,365.24,2026-02-25,2026-03-10,2026-08-31,3,2,4,9,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000150,11.0,11,1746.35,2024-10-09,2026-08-20,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000151,504.0,1,29.5,2025-04-14,2025-04-14,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000152,579.0,1,40.12,2025-01-29,2025-01-29,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000153,5.0,9,666.14,2024-11-03,2026-08-26,2026-08-31,5,5,4,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000154,473.0,1,71.4,2025-05-15,2025-05-15,2026-08-31,1,1,2,4,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000155,76.0,11,752.89,2024-10-18,2026-06-16,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000156,63.0,1,14.55,2026-06-29,2026-06-29,2026-08-31,4,1,1,6,New Customers,Onboard well; send a strong second-purchase incentive within 30 days.
CUST000157,241.0,6,322.39,2024-12-09,2026-01-02,2026-08-31,2,4,4,10,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000158,385.0,1,30.6,2025-08-11,2025-08-11,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000159,672.0,1,55.89,2024-10-28,2024-10-28,2026-08-31,1,1,2,4,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000160,303.0,4,281.47,2025-06-02,2025-11-01,2026-08-31,2,3,4,9,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000161,51.0,10,797.01,2024-09-03,2026-07-11,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000162,304.0,1,133.72,2025-10-31,2025-10-31,2026-08-31,2,1,3,6,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000163,132.0,2,29.87,2026-02-06,2026-04-21,2026-08-31,3,2,1,6,Promising,Nurture with targeted content; small incentive to drive a second order.
CUST000164,12.0,12,1551.14,2024-09-05,2026-08-19,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000165,276.0,1,48.72,2025-11-28,2025-11-28,2026-08-31,2,1,2,5,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000166,164.0,5,307.07,2025-06-08,2026-03-20,2026-08-31,3,4,4,11,Loyal Customers,Upsell higher-value products; enrol in loyalty programme.
CUST000167,686.0,1,24.76,2024-10-14,2024-10-14,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000168,,0,0.0,,,2026-08-31,,,,,No Purchase History,Investigate: no purchase history -- confirm signup funnel / re-engage with welcome offer.
CUST000169,108.0,5,458.86,2025-11-06,2026-05-15,2026-08-31,4,4,4,12,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000170,6.0,6,2998.14,2025-08-08,2026-08-25,2026-08-31,5,4,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000171,68.0,2,104.63,2026-04-18,2026-06-24,2026-08-31,4,2,2,8,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000172,516.0,1,17.54,2025-04-02,2025-04-02,2026-08-31,1,1,1,3,Lost,Deprioritise spend; include only in broad low-cost re-engagement blasts.
CUST000173,176.0,4,170.31,2025-09-17,2026-03-08,2026-08-31,3,3,3,9,Need Attention,Limited-time win-back offer; recommend based on past purchases.
CUST000174,370.0,2,78.53,2025-08-21,2025-08-26,2026-08-31,2,2,2,6,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000175,75.0,9,799.5,2024-09-21,2026-06-17,2026-08-31,4,5,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000176,10.0,12,1518.55,2024-09-30,2026-08-21,2026-08-31,5,5,5,15,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000177,66.0,3,114.14,2026-03-28,2026-06-26,2026-08-31,4,3,3,10,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000178,39.0,5,4436.34,2026-01-17,2026-07-23,2026-08-31,5,4,5,14,Champions,Reward with early access / loyalty perks; ask for referrals & reviews.
CUST000179,503.0,3,109.77000000000001,2024-09-20,2025-04-15,2026-08-31,1,3,2,6,Hibernating,Low-cost reactivation campaign; survey to learn why they stopped buying.
CUST000180,,0,0.0,,,2026-08-31,,,,,No Purchase History,Investigate: no purchase history -- confirm signup funnel / re-engage with welcome offer.
CUST000181,439.0,1,11.14,2025-06-18,2025-06-18,2026-08-31,2,1,1,4,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
CUST000182,550.0,3,152.1,2024-12-19,2025-02-27,2026-08-31,1,3,3,7,At Risk,Reach out personally; time-boxed discount to prevent churn.
CUST000183,85.0,1,35.38,2026-06-07,2026-06-07,2026-08-31,4,1,1,6,New Customers,Onboard well; send a strong second-purchase incentive within 30 days.
CUST000184,84.0,3,123.82,2026-03-08,2026-06-08,2026-08-31,4,3,3,10,Potential Loyalists,Offer membership / subscription; personalised follow-up after purchase.
CUST000185,383.0,2,111.39,2025-06-01,2025-08-13,2026-08-31,2,2,3,7,About To Sleep,Re-engagement email with personalised recommendations before they go cold.
